#author,papers,pagerank,hindex,affsChangeTimes,affsChangeFreq,citations,isSameAff,isAncestor,betweenness
2083455184,4,8.058394948461704e-05,3,1,1.875,205,1.0,1.0,0.0
563069026,91,9.558034094149737e-05,54,6,6.970588235294118,50112,0.8,0.85,0.008761742524208634
710089344,3,0.00015232863927951813,3,1,1.75,60,0.6666666666666666,1.0,0.0001417513635193011
243981275,45,0.0001059665590398262,23,3,3.933333333333333,5637,0.782608695652174,0.8260869565217391,0.0017203985800908793
2748124963,2,9.984555309275396e-05,1,0,0.0,25,1.0,1.0,0.0
2092672596,49,0.00010218806168689748,16,1,1.9473684210526316,2700,0.7777777777777778,0.8518518518518519,0.0012540548180239026
2049838,69,0.00027360498905068683,19,1,1.9545454545454546,2182,0.8,0.875,0.002776372552894675
2223914299,17,0.00025721226921277543,3,2,2.8,153,0.7857142857142857,0.6428571428571429,0.0019205916203710756
2129405715,31,0.000696189787035254,9,3,3.875,388,0.6129032258064516,0.5483870967741935,0.006824391651346461
2096153351,8,0.0002051516153958354,5,0,0.8,54,0.5,0.875,0.00012187113962564358
2555513590,7,0.0001730570233374193,3,0,0.6666666666666667,118,0.5,1.0,4.6873226774371576e-05
2042571382,31,6.0188508630036554e-05,12,3,3.9285714285714284,679,0.7272727272727273,0.9090909090909091,0.0005942137766325121
43645529,4,0.0003228486539587585,3,0,0.9,23,0.6666666666666666,0.6666666666666666,9.367252101439872e-05
1976791985,24,0.00015074924183809213,10,2,2.888888888888889,405,0.4166666666666667,0.5833333333333334,0.0007533498029428475
2173031678,3,0.00014309880591284428,2,0,0.8571428571428572,23,0.3333333333333333,0.6666666666666666,0.0
2107049243,15,0.00044392001839903966,8,2,2.9,438,0.4666666666666667,0.6,0.0013523617841559598
55380488,13,0.00024971957943396123,9,2,2.9,633,0.3,0.4,0.0005570710879226197
2618902948,17,0.0001859839401596945,6,0,0.75,167,0.8888888888888888,0.6666666666666666,0.00011131088076224468
2244698799,144,0.00033236750148615666,61,4,4.958333333333333,27746,0.75,0.75,0.008455295674622132
2031945151,70,0.00011547420233314237,35,4,4.9375,17935,0.6410256410256411,0.8205128205128205,0.004959403373781802
2227815835,4,0.00015964608193969336,4,0,0.6666666666666667,265,0.6666666666666666,0.5,0.00029227592566851817
2435260474,11,9.61035211232416e-05,7,2,2.9166666666666665,156,0.75,0.75,0.0006931487264047572
2060297470,6,0.00017457347659530903,4,0,0.6666666666666667,184,1.0,0.6,2.3630497235605564e-05
2749361155,2,0.000156623993619173,1,0,0.0,9,0.5,1.0,0.0
2102191302,17,0.00027854125711113245,9,2,2.857142857142857,264,0.5384615384615384,0.6153846153846154,0.0015868036213884866
2148022289,54,0.0007367154679402368,24,4,4.909090909090909,9400,0.48148148148148145,0.5555555555555556,0.007658921328035832
2120464764,56,0.000315160521256105,30,3,3.9705882352941178,30558,0.9565217391304348,0.6521739130434783,0.009474817427417874
2101090258,4,0.00014835526949739052,4,0,0.8,295,0.5,1.0,0.0
2497495094,4,9.637549967975802e-05,2,0,0.8,43,0.25,1.0,0.00045155047474868036
2104437897,56,0.0001559163525144829,27,2,2.9473684210526314,4354,0.631578947368421,0.7368421052631579,0.0010503035945868266
2125714999,38,0.00021534387885100976,21,3,3.9375,4085,0.44,0.64,0.009576674538820046
2131202988,20,0.00019964347404422531,7,1,1.8333333333333333,141,1.0,0.42857142857142855,0.00012255565625375305
2543420541,5,0.00013492347117057208,4,3,3.9,40,0.25,0.5,4.34196639503852e-06
2095316779,5,7.216054580171302e-05,5,0,0.9444444444444444,401,1.0,0.5,0.0
2142444093,16,0.00014299595703828538,12,1,1.9230769230769231,816,0.6,0.4,0.0021025731175038755
2274019935,3,0.0005444391613275839,1,0,0.5,2,0.75,0.75,2.3661880004480638e-05
2106011892,30,0.0004964574047969981,10,2,2.909090909090909,683,0.5882352941176471,0.6470588235294118,0.002093726176947357
2169951634,8,9.343683343886137e-05,5,1,1.8,155,1.0,0.5,1.175369653457484e-05
2113868374,65,0.00029932504242810874,24,3,3.923076923076923,2768,0.6111111111111112,0.7222222222222222,0.007317812775707673
172841154,20,0.0001013270681974551,10,2,2.9166666666666665,398,0.8,0.6,0.0009948761284043553
239480343,11,0.0002228780895017754,7,3,3.909090909090909,522,0.4,0.5,0.0014318980528403426
2125169605,62,0.0002903732474713353,25,6,6.944444444444445,6762,0.38461538461538464,0.6153846153846154,0.005164239599933267
2126330539,166,0.0002742644414127143,59,7,7.947368421052632,18502,0.40816326530612246,0.7755102040816326,0.013268389743526393
2344333455,4,6.747427441410687e-05,4,1,1.6666666666666667,182,0.0,1.0,0.0
2241827754,29,6.611113302166878e-05,19,4,4.916666666666667,3236,0.625,0.875,0.0002893657206809398
